p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.2;24;1024;209602.00;1024.00;1024.00;3990.67;0.050054;0.789079;0.018570;2983.03;
0.2;25;1024;209602.00;1024.00;1024.00;3976.53;0.050130;0.792931;0.018443;2988.90;
0.2;26;1024;209602.00;1024.00;1024.00;4000.70;0.049973;0.796349;0.017583;2990.83;
0.2;27;1024;209602.00;1024.00;1024.00;3964.87;0.050000;0.806114;0.017237;3000.10;
0.2;28;1024;209602.00;1024.00;1024.00;3985.03;0.049897;0.815332;0.017206;3008.97;
0.2;29;1024;209602.00;1024.00;1024.00;3977.63;0.048324;0.828461;0.016900;3005.03;
0.2;30;1024;209602.00;1024.00;1024.00;3998.63;0.048275;0.843864;0.016640;3028.37;
0.2;31;1024;209602.00;1024.00;1024.00;3993.40;0.048155;0.854161;0.017843;3026.77;
0.2;32;1024;209602.00;1024.00;1024.00;3985.27;0.046761;0.875000;0.019347;3043.73;
0.2;33;1024;209602.00;1024.00;1024.00;3979.17;0.045638;0.873144;0.019035;3044.07;
0.2;34;1024;209602.00;1024.00;1024.00;3970.43;0.047347;0.874170;0.018779;3055.80;
0.2;35;1024;209602.00;1024.00;1024.00;3993.73;0.044727;0.872868;0.018329;3066.80;
0.2;36;1024;209602.00;1024.00;1024.00;3992.37;0.044515;0.871452;0.018073;3077.60;
0.2;37;1024;209602.00;1024.00;1024.00;3975.07;0.042773;0.868603;0.017459;3082.60;
0.2;38;1024;209602.00;1024.00;1024.00;3976.90;0.042464;0.866992;0.017309;3087.37;
0.2;39;1024;209602.00;1024.00;1024.00;3978.53;0.041585;0.866699;0.016935;3097.60;
0.2;40;1024;209602.00;1024.00;1024.00;3995.67;0.040495;0.866227;0.016701;3115.07;
0.2;41;1024;209602.00;1024.00;1024.00;3981.60;0.039844;0.864095;0.015805;3107.60;
0.2;42;1024;209602.00;1024.00;1024.00;3968.00;0.040495;0.863558;0.015881;3116.20;
0.2;43;1024;209602.00;1024.00;1024.00;3989.17;0.040023;0.860075;0.015502;3123.97;
0.2;44;1024;209602.00;1024.00;1024.00;3987.73;0.038802;0.862793;0.015523;3141.33;
0.2;45;1024;209602.00;1024.00;1024.00;3986.70;0.037891;0.860010;0.015138;3155.80;
